"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ko:K22452",5.10204575785955,-0.341701377459323,1.13463893074319,-0.301154286355668,0.763296846742463,0.869838404142275
"ko:K22298",0.91904845740911,-0.579514013247437,1.9255100066481,-0.30096650302859,0.763440037648621,NA
"ko:K09161",0.312514742198976,-0.979126299187463,3.25506278748158,-0.300801048432311,0.763566208876713,NA
"ko:K02719",1.84565645549609,0.4270683766481,1.42063612308155,0.300617709003295,0.763706025931849,0.870090124711803
"ko:K02584",20.1898564545979,0.208855983730484,0.696364319790782,0.299923442075885,0.764235552811519,0.870478799492736
"ko:K00248",87.3638401177029,0.0849171622257098,0.28400680365368,0.298996929416024,0.764942388422934,0.871069190956722
"ko:K07023",3.93175191872248,-0.343285824833816,1.14922641189432,-0.298710350963795,0.765161058527784,0.871103535712464
"ko:K19223",1.06155536815152,-0.625530767814879,2.09611508750847,-0.298423865913971,0.765379676073774,NA
"ko:K10221",1.28128060143471,0.656240565891544,2.20311215921661,0.297869794393442,0.76580254262451,NA
"ko:K17989",1.64951631070111,-0.465138846677373,1.56728960172328,-0.296779131416388,0.766635138774112,0.872303083398628
"ko:K02660",71.4744417117352,-0.161792099653632,0.545934618304306,-0.296358014731075,0.766956685264835,0.872303083398628
"ko:K14274",86.4945284297117,-0.121367119725246,0.409532682373029,-0.296355150514451,0.766958872394258,0.872303083398628
"ko:K00595",5.5714927338552,0.258557334282325,0.872499820965874,0.296340845085901,0.766969796115262,0.872303083398628
"ko:K21349",0.760744621460958,0.780950839480924,2.6358889462216,0.296276078171038,0.767019253144426,NA
"ko:K10815",1.03013745554629,0.745720253486211,2.52491486006713,0.295344712520874,0.767730563378481,NA
"ko:K01132",3.92555584810182,-0.480303386423728,1.62694898713753,-0.295217238045538,0.767827934470558,0.873064194190071
"ko:K18568",0.569182008830521,0.716324193502482,2.42838890578145,0.294979190440655,0.768009776409313,NA
"ko:K03625",21.7857245839547,-0.129265717966554,0.438399818130978,-0.294858055638915,0.768102314850553,0.87316132765668
"ko:K03420",0.865614441767368,-0.626618324200526,2.12786856646984,-0.294481686545186,0.768389855364867,NA
"ko:K13876",2.78158839541583,0.438148768991825,1.48881761714646,0.294293111490447,0.768533935951388,0.873437117076086
"ko:K02408",5.40307225000036,-0.290713575813077,0.989681966193151,-0.293744440884699,0.768953192653879,0.873651637888357
"ko:K03657",120.934926295011,0.0732660949582593,0.249712168388539,0.293402181523894,0.769214758175535,0.873651637888357
"ko:K03979",55.9044504318839,-0.084879354553281,0.289606925299488,-0.293084685269545,0.769457422427513,0.873651637888357
"ko:K03747",9.87064523729794,-0.214803604000697,0.732976665404132,-0.293056538003517,0.769478936638306,0.873651637888357
"ko:K02286",0.327543718101881,-1.00887823948873,3.45014182066665,-0.29241645472237,0.769968228711701,NA
"ko:K03923",0.327543718101881,-1.00887823948873,3.45014182066665,-0.29241645472237,0.769968228711701,NA
"ko:K06967",0.327543718101881,-1.00887823948873,3.45014182066665,-0.29241645472237,0.769968228711701,NA
"ko:K07280",0.327543718101881,-1.00887823948873,3.45014182066665,-0.29241645472237,0.769968228711701,NA
"ko:K17474",0.327543718101881,-1.00887823948873,3.45014182066665,-0.29241645472237,0.769968228711701,NA
"ko:K21786",0.327543718101881,-1.00887823948873,3.45014182066665,-0.29241645472237,0.769968228711701,NA
"ko:K00077",22.0589367578132,-0.142754478383095,0.488374865438276,-0.292305129697829,0.770053337074595,0.873989478716897
"ko:K08685",34.995123730331,0.269827450364559,0.923521144755181,0.292172466106435,0.770154762461633,0.873989478716897
"ko:K09860",0.304534143090909,-0.943911904763972,3.24206194769743,-0.291145548725358,0.77094000519046,NA
"ko:K12993",0.304534143090909,-0.943911904763972,3.24206194769743,-0.291145548725358,0.77094000519046,NA
"ko:K19664",0.304534143090909,-0.943911904763972,3.24206194769743,-0.291145548725358,0.77094000519046,NA
"ko:K19136",0.846118462051961,-0.541223526123051,1.85968428128235,-0.291029790147954,0.771028535893979,NA
